SUB_TYPE,WANTED_SUB_TYPE,
Advertisement,Advertisement,"'Advertisement',"
Episodic Video,Episodic Video,"'Episodic Video',"
Live Performance,Live Performance,"'Live Performance',"
Long Form Video,Long Form Video,"'Long Form Video',"
Lyric Video,Lyric Video,"'Lyric Video',"
Music Video,Music Video,"'Music Video',"
Non Music Video,Non Music Video,"'Non Music Video',"
Podcast Video,Podcast Video,"'Podcast Video',"
Promotional Video,Promotional Video,"'Promotional Video',"
Sound Recording,Sound Recording,"'Sound Recording',"
Still Image Podcast,Still Image Podcast,"'Still Image Podcast',"
Still Image w/Audio,Still Image w/Audio,"'Still Image w/Audio',"
Still Image/Visualizer,Still Image/Visualizer,"'Still Image/Visualizer',"
Trailer Video,Trailer Video,"'Trailer Video',"
Vertical Video,Vertical Video,"'Vertical Video',"
Visualizer,Visualizer,"'Visualizer',"
Alert Tone,,
Anthem,,
Application (Music Work),,
Application (Non Music Work),,
Audio Book,,
Avatar,,
Background Music,,
Bulletin,,
Choral Text,,
Chord Chart - Lyric Sheet,,
Clip,,
E-Book,,
EMI Physical Asset,,
EMI Wireless Asset,,
Finale (Sheet Music),,
Game,,
Graphic Image,,
Hinge Tone,,
Immersive Audio,,
Interactive Booklet,,
Keyboard / SATB,,
Lead Sheet,,
Mastertone,,
Menu,,
Music Video Ringer,,
Non Interactive Booklet,,
Orchestration,,
Piano Folio,,
Podcast,,
Poster,,
Praise Band,,
Radio Play,,
Rhythm Pack,,
Ringback,,
Ringtone,,
SAT Only,,
SATB Only,,
Screensaver,,
Short Film,,
Short Ringtone,,
SMS Music Video,,
SMS Tone,,
SMS Voice Ringer,,
SMS Voice Ringer w/Music,,
Song Dedication,,
Spoken Word,,
Stem,,
Storyteller,,
Theme Components,,
User Generated Mastertone,,
Video Voice Ringer,,
Video Voice Ringer w/Music,,
Virtual Reality Video,,
Vocal Folio,,
Voice Ans Mess,,
Voice Ans Mess + Music,,
Voice Ringback,,
Voice Ringer,,
Voice with Music Ringback,,
Voice with Music Ringer,,